Decade,Avg_Rating,Count,Genre
1960,3.7830555555555554,36,Blues Rock
1970,3.7569642857142855,56,Blues Rock
1980,3.772,5,Blues Rock
1990,3.7359999999999998,10,Blues Rock
2000,3.748,5,Blues Rock
1980,3.84,6,Indie Rock
1990,3.7795121951219515,41,Indie Rock
2000,3.75,51,Indie Rock
2010,3.744375,16,Indie Rock
1970,3.7684210526315787,19,Art Pop
1980,3.7752380952380955,21,Art Pop
1990,3.7876666666666665,30,Art Pop
2000,3.7725,20,Art Pop
2010,3.7541666666666664,24,Art Pop
1950,3.8,39,Hard Bop
1960,3.7973076923076925,78,Hard Bop
1960,3.7685714285714287,49,Psychedelic Rock
1970,3.7390243902439027,41,Psychedelic Rock
1990,3.7314285714285718,14,Psychedelic Rock
2000,3.7566666666666664,6,Psychedelic Rock
2010,3.737142857142857,7,Psychedelic Rock
1960,4.0,4,Art Rock
1970,3.8681818181818177,44,Art Rock
1980,3.780909090909091,11,Art Rock
1990,3.7904,25,Art Rock
2000,3.7666666666666666,27,Art Rock
2010,3.7939999999999996,10,Art Rock
1980,3.80125,8,East Coast Hip Hop
1990,3.8264,75,East Coast Hip Hop
2000,3.7767857142857144,28,East Coast Hip Hop
2010,3.7478571428571428,14,East Coast Hip Hop
1970,3.832631578947368,19,Post-Punk
1980,3.776625,80,Post-Punk
1990,3.8007142857142857,14,Post-Punk
2000,3.771818181818182,11,Post-Punk
2010,3.6725000000000003,4,Post-Punk
1960,3.8484615384615384,13,Film Score
1970,3.8152173913043477,23,Film Score
1980,3.8127272727272725,33,Film Score
1990,3.8276923076923075,26,Film Score
2000,3.8073913043478265,23,Film Score
2010,3.7521428571428572,14,Film Score
1970,3.8528571428571428,21,Heavy Metal
1980,3.757529411764706,85,Heavy Metal
1990,3.729677419354839,31,Heavy Metal
2000,3.719333333333333,15,Heavy Metal
1960,3.909473684210526,19,Pop Rock
1970,3.79,58,Pop Rock
1980,3.7464444444444447,45,Pop Rock
1990,3.732941176470588,17,Pop Rock
2000,3.7146666666666666,15,Pop Rock
1960,3.7816666666666667,6,Hard Rock
1970,3.7742477876106197,113,Hard Rock
1980,3.7188461538461537,26,Hard Rock
1990,3.7066666666666666,15,Hard Rock
2000,3.7230000000000003,10,Hard Rock
1980,3.7872413793103448,29,Alternative Rock
1990,3.751923076923077,104,Alternative Rock
2000,3.74,38,Alternative Rock
2010,3.793333333333333,3,Alternative Rock
1960,3.7627272727272727,11,Progressive Rock
1970,3.7671238938053095,226,Progressive Rock
1980,3.7728571428571427,14,Progressive Rock
1990,3.716666666666667,24,Progressive Rock
2000,3.71425,40,Progressive Rock
2010,3.672222222222222,9,Progressive Rock
1960,3.850625,32,Singer/Songwriter
1970,3.80109375,128,Singer/Songwriter
1980,3.7503333333333333,30,Singer/Songwriter
1990,3.7663333333333333,60,Singer/Songwriter
2000,3.74525641025641,78,Singer/Songwriter
2010,3.7648,25,Singer/Songwriter
2020,3.7542857142857144,7,Singer/Songwriter
